id,name,text_snippet,supertype,subtype,logic_category,battle_styles,immediate_parent,evolution_root,effect_triggers,hp,retreat_cost
xy12-94,Lightning Energy,,Energy,Basic,basic,None,N/A,N/A,None,N/A,N/A
sm1-167,Lightning Energy,,Energy,Basic,basic,None,N/A,N/A,None,N/A,N/A
sm2-168,Lightning Energy,,Energy,Basic,basic,None,N/A,N/A,None,N/A,N/A
swsh7-235,Lightning Energy,,Energy,Basic,basic,None,N/A,N/A,None,N/A,N/A
swsh12pt5-155,Lightning Energy,,Energy,Basic,basic,None,N/A,N/A,None,N/A,N/A
dp1-130,Metal Energy,,Energy,Basic,basic,None,N/A,N/A,None,N/A,N/A
hgss1-122,Metal Energy,,Energy,Basic,basic,None,N/A,N/A,None,N/A,N/A
col1-95,Metal Energy,,Energy,Basic,basic,None,N/A,N/A,None,N/A,N/A
bw1-112,Metal Energy,,Energy,Basic,basic,None,N/A,N/A,None,N/A,N/A
xy1-139,Metal Energy,,Energy,Basic,basic,None,N/A,N/A,None,N/A,N/A
g1-82,Metal Energy,,Energy,Basic,basic,None,N/A,N/A,None,N/A,N/A
xy12-98,Metal Energy,,Energy,Basic,basic,None,N/A,N/A,None,N/A,N/A
sm1-163,Metal Energy,,Energy,Basic,basic,None,N/A,N/A,None,N/A,N/A
sm1-171,Metal Energy,,Energy,Basic,basic,None,N/A,N/A,None,N/A,N/A
swsh7-237,Metal Energy,,Energy,Basic,basic,None,N/A,N/A,None,N/A,N/A
swsh12pt5-159,Metal Energy,,Energy,Basic,basic,None,N/A,N/A,None,N/A,N/A
base1-101,Psychic Energy,,Energy,Basic,basic,None,N/A,N/A,None,N/A,N/A
base4-129,Psychic Energy,,Energy,Basic,basic,None,N/A,N/A,None,N/A,N/A
gym1-131,Psychic Energy,,Energy,Basic,basic,None,N/A,N/A,None,N/A,N/A
gym2-131,Psychic Energy,,Energy,Basic,basic,None,N/A,N/A,None,N/A,N/A
neo1-110,Psychic Energy,,Energy,Basic,basic,None,N/A,N/A,None,N/A,N/A
ecard1-164,Psychic Energy,,Energy,Basic,basic,None,N/A,N/A,None,N/A,N/A
ex1-107,Psychic Energy,,Energy,Basic,basic,None,N/A,N/A,None,N/A,N/A
ex9-105,Psychic Energy,,Energy,Basic,basic,None,N/A,N/A,None,N/A,N/A
tk2a-12,Psychic Energy,,Energy,Basic,basic,None,N/A,N/A,None,N/A,N/A
ex13-109,Psychic Energy,,Energy,Basic,basic,None,N/A,N/A,None,N/A,N/A
ex16-107,Psychic Energy,,Energy,Basic,basic,None,N/A,N/A,None,N/A,N/A
dp1-127,Psychic Energy,,Energy,Basic,basic,None,N/A,N/A,None,N/A,N/A
hgss1-119,Psychic Energy,,Energy,Basic,basic,None,N/A,N/A,None,N/A,N/A
col1-92,Psychic Energy,,Energy,Basic,basic,None,N/A,N/A,None,N/A,N/A
bw1-109,Psychic Energy,,Energy,Basic,basic,None,N/A,N/A,None,N/A,N/A
xy1-136,Psychic Energy,,Energy,Basic,basic,None,N/A,N/A,None,N/A,N/A
g1-79,Psychic Energy,,Energy,Basic,basic,None,N/A,N/A,None,N/A,N/A
xy12-95,Psychic Energy,,Energy,Basic,basic,None,N/A,N/A,None,N/A,N/A
sm1-162,Psychic Energy,,Energy,Basic,basic,None,N/A,N/A,None,N/A,N/A
sm1-168,Psychic Energy,,Energy,Basic,basic,None,N/A,N/A,None,N/A,N/A
swsh6-232,Psychic Energy,,Energy,Basic,basic,None,N/A,N/A,None,N/A,N/A
swsh12pt5-156,Psychic Energy,,Energy,Basic,basic,None,N/A,N/A,None,N/A,N/A
base1-102,Water Energy,,Energy,Basic,basic,None,N/A,N/A,None,N/A,N/A
base4-130,Water Energy,,Energy,Basic,basic,None,N/A,N/A,None,N/A,N/A
gym1-132,Water Energy,,Energy,Basic,basic,None,N/A,N/A,None,N/A,N/A
gym2-132,Water Energy,,Energy,Basic,basic,None,N/A,N/A,None,N/A,N/A
neo1-111,Water Energy,,Energy,Basic,basic,None,N/A,N/A,None,N/A,N/A
ecard1-165,Water Energy,,Energy,Basic,basic,None,N/A,N/A,None,N/A,N/A
ex1-106,Water Energy,,Energy,Basic,basic,None,N/A,N/A,None,N/A,N/A
ex9-103,Water Energy,,Energy,Basic,basic,None,N/A,N/A,None,N/A,N/A
ex13-107,Water Energy,,Energy,Basic,basic,None,N/A,N/A,None,N/A,N/A
ex16-105,Water Energy,,Energy,Basic,basic,None,N/A,N/A,None,N/A,N/A
dp1-125,Water Energy,,Energy,Basic,basic,None,N/A,N/A,None,N/A,N/A
hgss1-117,Water Energy,,Energy,Basic,basic,None,N/A,N/A,None,N/A,N/A
col1-90,Water Energy,,Energy,Basic,basic,None,N/A,N/A,None,N/A,N/A
bw1-107,Water Energy,,Energy,Basic,basic,None,N/A,N/A,None,N/A,N/A
xy1-134,Water Energy,,Energy,Basic,basic,None,N/A,N/A,None,N/A,N/A
g1-77,Water Energy,,Energy,Basic,basic,None,N/A,N/A,None,N/A,N/A
xy12-93,Water Energy,,Energy,Basic,basic,None,N/A,N/A,None,N/A,N/A
sm1-166,Water Energy,,Energy,Basic,basic,None,N/A,N/A,None,N/A,N/A
sm4-124,Water Energy,,Energy,Basic,basic,None,N/A,N/A,None,N/A,N/A
swsh6-231,Water Energy,,Energy,Basic,basic,None,N/A,N/A,None,N/A,N/A
swsh12pt5-154,Water Energy,,Energy,Basic,basic,None,N/A,N/A,None,N/A,N/A
sv6-166,Boomerang Energy,"[Rule] As long as this card is attached to a Pokemon, it provides Colorless Energy.    If this card is discarded by an effect of an attack used by the Pokemon this card is attached to, attach this card from your discard pile to that Pokemon after attacking.",Energy,Special,special,None,N/A,N/A,"discard, attach, copy",N/A,N/A
sv8-191,Enriching Energy,"[Rule] As long as this card is attached to a Pokemon, it provides Colorless Energy.  When you attach this card from your hand to a Pokemon, draw 4 cards. | [Rule] ACE SPEC: You can't have more than 1 ACE SPEC card in your deck.",Energy,"Special, ACE SPEC",special,ACE SPEC,N/A,N/A,"draw, attach",N/A,N/A
rsv10pt5-86,Ignition Energy,"[Rule] If this card is attached to 1 of your Pokemon, discard it at the end of your turn.  As long as this card is attached to a Pokemon, it provides Colorless Energy.  If this card is attached to an Evolution Pokemon, it provides ColorlessColorlessColorless Energy instead.",Energy,Special,special,None,N/A,N/A,"discard, attach, evolve",N/A,N/A
me2-124,Ignition Energy,"[Rule] If this card is attached to 1 of your Pokemon, discard it at the end of your turn.  As long as this card is attached to a Pokemon, it provides Colorless Energy.  If this card is attached to an Evolution Pokemon, it provides ColorlessColorlessColorless Energy instead.",Energy,Special,special,None,N/A,N/A,"discard, attach, evolve",N/A,N/A
sv2-190,Jet Energy,"[Rule] As long as this card is attached to a Pokemon, it provides Colorless Energy. When you attach this card from your hand to 1 of your Benched Pokemon, switch that Pokemon with your Active Pokemon.",Energy,Special,special,None,N/A,N/A,"switch, attach",N/A,N/A
sv8-252,Jet Energy,"[Rule] As long as this card is attached to a Pokemon, it provides Colorless Energy.  When you attach this card from your hand to 1 of your Benched Pokemon, switch that Pokemon with your Active Pokemon.",Energy,Special,special,None,N/A,N/A,"switch, attach",N/A,N/A
sv6-167,Legacy Energy,"[Rule] You can't have more than 1 ACE SPEC card in your deck. | [Rule] As long as this card is attached to a Pokemon, it provides every type of Energy but provides only 1 Energy at a time.    If the Pokemon this card is attached to is Knocked Out by damage from an attack from your opponent's Pokemon, that player takes 1 fewer Prize card. This effect of your Legacy Energy can't be applied more than once per game. | [Rule] ACE SPEC: You can't have more than 1 ACE SPEC card in your deck.",Energy,"Special, ACE SPEC",special,ACE SPEC,N/A,N/A,"damage, attach, prevent, lock, prize, knockout",N/A,N/A
sv2-191,Luminous Energy,"[Rule] As long as this card is attached to a Pokemon, it provides every type of Energy but provides only 1 Energy at a time.If the Pokemon this card is attached to has any other Special Energy attached, this card provides Colorless Energy instead.",Energy,Special,special,None,N/A,N/A,attach,N/A,N/A
sv6-226,Luminous Energy,"[Rule] As long as this card is attached to a Pokemon, it provides every type of Energy but provides only 1 Energy at a time.  If the Pokemon this card is attached to has any other Special Energy attached, this card provides Colorless Energy instead.",Energy,Special,special,None,N/A,N/A,attach,N/A,N/A
sv4-182,Medical Energy,"[Rule] As long as this card is attached to a Pokemon, it provides Colorless Energy.  When you attach this card from your hand to 1 of your Pokemon, heal 30 damage from that Pokemon.",Energy,Special,special,None,N/A,N/A,"heal, damage, attach",N/A,N/A
sv5-161,Mist Energy,"[Rule] As long as this card is attached to a Pokemon, it provides Colorless Energy.    Prevent all effects of attacks used by your opponent's Pokemon done to the Pokemon this card is attached to. (Existing effects are not removed. Damage is not an effect.)",Energy,Special,special,None,N/A,N/A,"heal, damage, attach, prevent",N/A,N/A
sv5-162,Neo Upper Energy,"[Rule] You can't have more than 1 ACE SPEC card in your deck. | [Rule] As long as this card is attached to a Pokemon, it provides Colorless Energy.  If this card is attached to a Stage 2 Pokemon, this card provides every type of Energy but provides only 2 Energy at a time. | [Rule] ACE SPEC: You can't have more than 1 ACE SPEC card in your deck.",Energy,"Special, ACE SPEC",special,ACE SPEC,N/A,N/A,attach,N/A,N/A
zsv10pt5-86,Prism Energy,"[Rule] As long as this card is attached to a Pokemon, it provides Colorless Energy.  If this card is attached to a Basic Pokemon, this card provides every type of Energy but provides only 1 Energy at a time.",Energy,Special,special,None,N/A,N/A,attach,N/A,N/A
sv2-192,Reversal Energy,"[Rule] As long as this card is attached to a Pokemon, it provides Colorless Energy.If you have more Prize cards remaining than your opponent, and if this card is attached to an Evolution Pokemon that doesn't have a Rule Box (Pokemon ex, Pokemon V, etc. have Rule Boxes), this card provides every type of Energy but provides only 3 Energy at a time.",Energy,Special,special,None,N/A,N/A,"attach, evolve, prize",N/A,N/A
sv4-266,Reversal Energy,"[Rule] As long as this card is attached to a Pokemon, it provides Colorless Energy.    If you have more Prize cards remaining than your opponent, and if this card is attached to an Evolution Pokemon that doesn't have a Rule Box (Pokemon ex, Pokemon V, etc. have Rule Boxes), this card provides every type of Energy but provides only 3 Energy at a time.",Energy,Special,special,None,N/A,N/A,"attach, evolve, prize",N/A,N/A
sv9-159,Spiky Energy,"[Rule] As long as this card is attached to a Pokemon, it provides Colorless Energy.  If the Pokemon this card is attached to is in the Active Spot and is damaged by an attack from your opponent's Pokemon (even if this Pokemon is Knocked Out), put 2 damage counters on the Attacking Pokemon.",Energy,Special,special,None,N/A,N/A,"damage, attach, knockout",N/A,N/A
sv9-190,Spiky Energy,"[Rule] As long as this card is attached to a Pokemon, it provides Colorless Energy.  If the Pokemon this card is attached to is in the Active Spot and is damaged by an attack from your opponent's Pokemon (even if this Pokemon is Knocked Out), put 2 damage counters on the Attacking Pokemon.",Energy,Special,special,None,N/A,N/A,"damage, attach, knockout",N/A,N/A
sv10-182,Team Rocket's Energy,"[Rule] This card can only be attached to a Team Rocket's Pokemon. If this card is attached to anything other than a Team Rocket's Pokemon, discard this card.  As long as this card is attached to a Pokemon, it provides 2 in any combination of Psychic Energy and Darkness Energy.",Energy,Special,special,None,N/A,N/A,"discard, attach",N/A,N/A
sv2-193,Therapeutic Energy,"[Rule] As long as this card is attached to a Pokemon, it provides Colorless Energy.The Pokemon this card is attached to recovers from being Asleep, Confused, or Paralyzed and can't be affected by those Special Conditions.",Energy,Special,special,None,N/A,N/A,"attach, status, special_condition",N/A,N/A
sv2-11,Abomasnow,[Ability: Freezing Disaster] Pokemon (both yours and your opponent's) can't be healed.,Pokemon,Stage 1,complex,None,Snover,Snover,heal,150,3
sv4pt5-101,Abomasnow,[Ability: Freezing Disaster] Pokemon (both yours and your opponent's) can't be healed.,Pokemon,Stage 1,complex,None,Snover,Snover,heal,150,3
sv6-80,Abra,"[Ability: Teleporter] Once during your turn, if this Pokemon is in the Active Spot, you may shuffle it and all attached cards into your deck.",Pokemon,Basic,complex,None,None,Abra,attach,40,1
svp-60,Aegislash,[Ability: Mysterious Shield] Prevent all damage done to this Pokemon by attacks from your opponent's Pokemon ex and Pokemon V. | [Attack: Hard Bashing] This attack's damage isn't affected by any effects on your opponent's Active Pokemon.,Pokemon,Stage 2,complex,None,Doublade,Honedge,"damage, prevent",150,3
sv4-134,Aegislash,[Ability: Mysterious Shield] Prevent all damage done to this Pokemon by attacks from your opponent's Pokemon ex and Pokemon V. | [Attack: Hard Bashing] This attack's damage isn't affected by any effects on your opponent's Active Pokemon.,Pokemon,Stage 2,complex,None,Doublade,Honedge,"damage, prevent",150,3
sv4-210,Aegislash,[Ability: Mysterious Shield] Prevent all damage done to this Pokemon by attacks from your opponent's Pokemon ex and Pokemon V. | [Attack: Hard Bashing] This attack's damage isn't affected by any effects on your opponent's Active Pokemon.,Pokemon,Stage 2,complex,None,Doublade,Honedge,"damage, prevent",150,3
me1-56,Alakazam,"[Ability: Psychic Draw] Once during your turn, when you play this Pokemon from your hand to evolve 1 of your Pokemon, you may use this Ability. Draw 3 cards. | [Attack: Powerful Hand] Place 2 damage counters on your opponent's Active Pokemon for each card in your hand.",Pokemon,Stage 2,complex,None,Kadabra,Abra,"draw, damage, evolve, copy",140,1
sv9-75,Alcremie ex,"[Ability: Confectionary Gift] Once during your turn, you may heal 30 damage from 1 of your Pokemon.",Pokemon,"Stage 1, ex",complex,ex,Milcery,Milcery,"heal, damage",250,2
zsv10pt5-24,Alomomola,"[Ability: Gentle Fin] Once during your turn, if this Pokemon is in the Active Spot, you may put a Basic Pokemon with 70 HP or less from your discard pile onto your Bench.",Pokemon,Basic,complex,None,None,Alomomola,discard,110,1
zsv10pt5-108,Alomomola,"[Ability: Gentle Fin] Once during your turn, if this Pokemon is in the Active Spot, you may put a Basic Pokemon with 70 HP or less from your discard pile onto your Bench.",Pokemon,Basic,complex,None,None,Alomomola,discard,110,1
sv4-140,Altaria ex,"[Ability: Humming Heal] Once during your turn, you may heal 20 damage from each of your Pokemon. | [Attack: Light Pulse] During your opponent's next turn, prevent all effects of attacks used by your opponent's Pokemon done to this Pokemon. (Damage is not an effect.)",Pokemon,"Stage 1, ex",complex,ex,Swablu,Swablu,"heal, damage, prevent",260,1
sv4-232,Altaria ex,"[Ability: Humming Heal] Once during your turn, you may heal 20 damage from each of your Pokemon. | [Attack: Light Pulse] During your opponent's next turn, prevent all effects of attacks used by your opponent's Pokemon done to this Pokemon. (Damage is not an effect.)",Pokemon,"Stage 1, ex",complex,ex,Swablu,Swablu,"heal, damage, prevent",260,1
sv4-253,Altaria ex,"[Ability: Humming Heal] Once during your turn, you may heal 20 damage from each of your Pokemon. | [Attack: Light Pulse] During your opponent's next turn, prevent all effects of attacks used by your opponent's Pokemon done to this Pokemon. (Damage is not an effect.)",Pokemon,"Stage 1, ex",complex,ex,Swablu,Swablu,"heal, damage, prevent",260,1
sv6-138,Ambipom,"[Ability: Wicked Tail] When you play this Pokemon from your hand to evolve 1 of your Pokemon during your turn, you may flip 2 coins. For each heads, choose a random card from your opponent's hand. Your opponent reveals those cards and shuffles them into their deck.",Pokemon,Stage 1,complex,None,Aipom,Aipom,"search, evolve, coin_flip",110,1
sv10-92,Annihilape,"[Ability: Lose Cool] If this Pokemon has 2 or more damage counters on it, attacks used by this Pokemon do 120 more damage to your opponent's Active Pokemon (before applying Weakness and Resistance). | [Attack: Impact Blow] During your next turn, this Pokemon can't use Impact Blow.",Pokemon,Stage 2,complex,None,Primeape,Mankey,"damage, lock, copy, boost",150,2
sv1-23,Arboliva,"[Ability: Enriching Oil] When you play this Pokemon from your hand to evolve 1 of your Pokemon during your turn, you may heal all damage from 1 of your Pokemon.",Pokemon,Stage 2,complex,None,Dolliv,Smoliv,"heal, damage, evolve",150,2
sv4pt5-104,Arboliva,"[Ability: Enriching Oil] When you play this Pokemon from your hand to evolve 1 of your Pokemon during your turn, you may heal all damage from 1 of your Pokemon.",Pokemon,Stage 2,complex,None,Dolliv,Smoliv,"heal, damage, evolve",150,2
sv7-107,Archaludon,"[Ability: Metal Bridge] All of your Pokemon that have Metal Energy attached have no Retreat Cost. | [Attack: Iron Blaster] During your next turn, this Pokemon can't attack.",Pokemon,Stage 1,complex,None,Duraludon,Duraludon,"switch, lock",180,2
